,osm_id,building_name,date,lat,lng
84,669960909,Tung Lam Court,19/10/2022,114.2204292,22.2801508
85,296724524,Oceanic Mansion,19/10/2022,114.2120769,22.2843613
86,296725043,Yick Cheong Building,19/10/2022,114.2122455,22.2842853
87,296724610,Yick Fat Building,19/10/2022,114.212522,22.2845785
88,296724410,Fook Cheong Building,19/10/2022,114.2122455,22.2842853
89,779325125,Kam Ping Mansion,19/10/2022,114.2006524,22.2892037
90,112907771,Arden Court,19/10/2022,114.1961794,22.2871458
91,820386838,Kar On House,18/10/2022,114.1961644,22.2895071
92,451500259,Tai Chung Building,18/10/2022,114.1608989,22.3211808
93,770830209,Tai Hing Building,18/10/2022,114.1609982,22.3341844
94,171513912,Tai Hong House,18/10/2022,114.2218674,22.2836
95,296724578,Tai Sing House,18/10/2022,114.2127408,22.2830803
96,296724573,Tai Lung House,18/10/2022,114.2128928,22.2826025
97,296724806,Fu Yan Court,18/10/2022,114.2244104,22.279843
98,759412058,Fulham Court,18/10/2022,114.160101,22.3356318
99,100521556,Ling Pak Mansion,18/10/2022,114.2131014,22.2835949
100,659362684,Po Wah Building,18/10/2022,114.2288903,22.2777859
101,696146755,Tung Tai House,18/10/2022,114.1004686,22.3633782
102,659362711,The Eastborne,18/10/2022,114.2305987,22.2804413
103,659362713,Tung Hing Building,18/10/2022,114.230012,22.2799302
104,271666633,Harmony Place,18/10/2022,114.2272336,22.2778915
105,296724782,Hoi Ching Mansion,18/10/2022,114.2231798,22.2798756
106,820386834,Wah Hong Mansion,18/10/2022,114.1962081,22.2893221
107,492807123,Fung Yuen Building,18/10/2022,114.2274593,22.2772199
108,776900437,Kim Fat Mansion,18/10/2022,114.2309012,22.281778
109,776928427,Hung Lee Building,18/10/2022,114.2266773,22.2775406
110,700059215,Grand Villa,17/10/2022,114.1858217,22.3120732
111,44823199,Tai Foo House,17/10/2022,114.2212969,22.2835243
112,296724519,Montane Mansion,17/10/2022,114.2120769,22.2843613
113,691447820,Goldfield Mansion,17/10/2022,114.1885568,22.3302846
114,457923830,Hung Fook Building,17/10/2022,114.1995745,22.2897371
115,493711484,Princess Mansion,16/10/2022,114.1935547,22.2888146
116,838104638,Lee Fat Mansion,16/10/2022,114.1549765,22.2440501
117,692972859,Ka Wing Building,16/10/2022,114.1739249,22.3000568
118,776930255,Ka Yue Building,16/10/2022,114.2278826,22.2776393
119,100009681,On Ming Mansion,16/10/2022,114.223279,22.2832488
120,100009684,On Tsui Mansion,16/10/2022,114.2233524,22.2833922
121,501116266,Po Fung Building,16/10/2022,114.0274193,22.4459696
122,427345299,One Prestige,16/10/2022,114.1961615,22.2914064
123,190470900,Man Wah Building,16/10/2022,114.1687226,22.447987
124,457926082,Yuet Ming Building,16/10/2022,114.1927261,22.2875929
125,100103872,Tung Shing Court,16/10/2022,114.2261432,22.2764013
126,296724955,East Residences,16/10/2022,114.2115173,22.2875359
127,101211368,Bayview Park,16/10/2022,114.2343881,22.2658347
128,746293672,Yiu Ming Building,16/10/2022,114.165722,22.3251859
129,820386821,Wah Hai Mansion,16/10/2022,114.1963698,22.2893543
130,694667605,Kam Wa Building,16/10/2022,114.1709912,22.3121417
131,206062297,Southern Building,15/10/2022,114.1284376,22.3600038
132,296724571,Tai Kut House,15/10/2022,114.2142387,22.284199
133,775198740,Vicky Court,15/10/2022,114.1941861,22.2864975
134,775198738,Suncliffe Place,15/10/2022,114.1944821,22.2862988
135,777087865,Hong Wah Mansion,15/10/2022,114.2256917,22.2781885
136,493758766,Tung Sing Building,15/10/2022,114.170699,22.275757
137,296724549,Sai Wan Ho Building,15/10/2022,114.2235943,22.2803843
138,675124168,Victor Court,14/10/2022,114.1917658,22.2882179
139,679681280,Cannon Garden,14/10/2022,114.1935457,22.2866347
140,776930262,Aldrich House,14/10/2022,114.2277768,22.2772833
141,779325107,Villa Claire,14/10/2022,114.1987784,22.2896604
142,715087993,Tung Keung Building,14/10/2022,114.2298294,22.2796425
143,175870534,Tung Wong House,14/10/2022,114.1716592,22.3301018
144,563505630,Wing Fat Building,14/10/2022,114.0314991,22.4455822
145,205694157,United Building,14/10/2022,114.1859167,22.3058772
146,494292956,Ching Fai Terrace,14/10/2022,114.1969424,22.2887655
147,494292953,Wah Kin Mansion,14/10/2022,114.1966384,22.2896015
148,492672576,Metro Mansion,14/10/2022,114.226066,22.2793337
149,738820314,Hong Lok Building,13/10/2022,114.1786962,22.3742329
150,458497221,King Fai Building,13/10/2022,114.229706,22.278741
151,457923831,Pak Fook Building,13/10/2022,114.1992937,22.2896773
152,707823919,Serene Court,13/10/2022,114.1429571,22.2825723
153,258413482,Wah Tai Mansion,13/10/2022,114.2358275,22.2632341
154,669181657,Silver Centre Building,15/10/2022,114.0007252,22.264958
155,322427555,Peng Kwai Villa,14/10/2022,114.0418326,22.2827475
