,osm_id,building_name,date
149,738820314,Hong Lok Building,13/10/2022
150,458497221,King Fai Building,13/10/2022
151,457923831,Pak Fook Building,13/10/2022
152,707823919,Serene Court,13/10/2022
153,258413482,Wah Tai Mansion,13/10/2022
154,669181657,Silver Centre Building,15/10/2022
155,322427555,Peng Kwai Villa,14/10/2022
156,692605003,Lucky Building,19/10/2022
157,784781716,Chung Nam Mansion,19/10/2022
158,151396617,Harbour Grand Kowloon,19/10/2022
159,699068843,Axis,19/10/2022
160,699848152,Kiu Shing Building,19/10/2022
161,699045879,Kiu Yu Mansion,19/10/2022
162,674611347,Siu Fung Court,19/10/2022
163,209817134,Cambridge Court,19/10/2022
164,692427043,Triumph Terrace,19/10/2022
165,692427033,Peace Mansion,19/10/2022
166,428687495,Honour Building,19/10/2022
167,406591131,Po Sun Mansion,19/10/2022
168,205695072,Lux Theatre Building,19/10/2022
169,934531904,Sheung Shing Court,19/10/2022
170,692421682,Nin Fung Building,19/10/2022
171,691469180,Sun Hong House,19/10/2022
172,439370540,Tung Po Building,19/10/2022
173,691447786,Zebrano,19/10/2022
174,189017586,Wing Wo Building,19/10/2022
175,485604611,Fortune Court,19/10/2022
176,691429769,Fook Chi Building,19/10/2022
177,509013063,Man Kee Mansion,19/10/2022
178,100444470,Marigold Mansion,19/10/2022
179,683966641,Wei King Building,19/10/2022
180,406591127,Wuhu Residence,19/10/2022
181,109748439,Kam Wah House,19/10/2022
182,698983654,Lung Teck Mansion,19/10/2022
183,197733647,Kwun Hei Court,18/10/2022
184,691049940,Oxford Heights,18/10/2022
185,691010393,Rockford Mansion,18/10/2022
186,446478586,Sung Shun Building,18/10/2022
187,691449751,Comfort Court,18/10/2022
188,699203003,Yee Fu Building,18/10/2022
189,509602167,La Lumiere,18/10/2022
190,692421673,Sunland Court,18/10/2022
191,439362262,Cheong Shing Court,18/10/2022
192,439371920,Tung Hoi Building,18/10/2022
193,567239501,Wing Fung Building,18/10/2022
194,692964656,Wing Lee Building,18/10/2022
195,406591150,Wing Tak Mansion,18/10/2022
196,694534404,Kings Hotel,18/10/2022
197,691449738,Fuk Luen Building,18/10/2022
198,1028643853,Fook Wan Mansion,18/10/2022
199,174743082,Kam Shing House,18/10/2022
200,457633792,Shun King Building,18/10/2022
201,184430871,Kerry Hotel Hong Kong,18/10/2022
202,463042753,Crystal Court,18/10/2022
203,406591128,Berkeley Building,17/10/2022
204,509613015,Star Ruby,17/10/2022
205,700059206,Shung Fu Building,17/10/2022
206,700059216,Hing Cheung Building,17/10/2022
207,439362258,Chat Ma Mansion,17/10/2022
208,589474811,Kam Tong Building,17/10/2022
209,125578427,Kam Wah Building,17/10/2022
210,691469181,Loong Pont House,17/10/2022
211,699848153,Chung Hwa Building,16/10/2022
212,746979911,Hip Fai Building,16/10/2022
213,700020447,To Kwa Wan Mansion,16/10/2022
214,691131129,Shing Fai Building,16/10/2022
215,356689233,Forum Court,16/10/2022
216,446478588,Sung Kim Building,16/10/2022
217,699023689,Sung Lim Building,16/10/2022
218,446478298,Sung Yee Building,16/10/2022
219,100432556,Kin On Mansion,16/10/2022
220,588141654,Sun Yue Building,16/10/2022
221,734097991,Wing Lam Building,16/10/2022
222,494724179,Tam Kung Mansion,16/10/2022
223,934531906,Tip Top Mansion,16/10/2022
224,699045880,Kiu Fat Mansion,15/10/2022
225,559068473,Victory Building,15/10/2022
226,509606188,Carlton Court,15/10/2022
227,692421679,Peace Garden,15/10/2022
228,734097984,Comfort House,15/10/2022
229,446478587,Sung King Building,15/10/2022
230,691429769,Fook Chi Building,15/10/2022
231,225777479,Lucky House,15/10/2022
232,746979897,Rammon Mansion,15/10/2022
233,691240572,Kam Fai Mansion,15/10/2022
234,691429758,Yau Lung Building,14/10/2022
235,406591132,Metro6,14/10/2022
236,699558954,On Lung Building,14/10/2022
237,746979919,Fu Yip Building,14/10/2022
238,457923829,Fortuna Building,14/10/2022
239,446478299,Sung Lai Building,14/10/2022
240,691429747,Billionnaire Avant,14/10/2022
241,378519978,Sunrise Villa,14/10/2022
242,691216455,High Place,14/10/2022
243,406591134,Gillies Mansion,14/10/2022
244,552256707,City Hub,14/10/2022
245,699817965,Merry Mansion,14/10/2022
246,692421676,Valiant Court,14/10/2022
247,692384169,Yen Yee Mansion,13/10/2022
248,692384177,Classic Mansion,13/10/2022
249,691240609,South Wall Mansion,13/10/2022
250,699241645,Hill Main Mansion,13/10/2022
251,446478589,Sung Oi Building,13/10/2022
252,692421683,Tung Nam Mansion,13/10/2022
253,692421677,Champion House,13/10/2022
254,1044155404,Wing Kin Building,13/10/2022
255,406591144,Hing Lee Building,13/10/2022
256,691212448,Nga Tsin Wai Building,13/10/2022
257,744515601,Wai Yin Building,19/10/2022
258,817830627,Edition 178,19/10/2022
259,205980891,Ching Shing Court,19/10/2022
260,261873855,Rambler Oasis Hotel,19/10/2022
261,744514855,Kwai Wah Building,18/10/2022
262,713585200,Cheong Wang Mansion,17/10/2022
263,261874499,Rambler Garden Hotel,17/10/2022
264,233635971,Kwai Fung House,17/10/2022
265,389209517,Ming Yin Building,16/10/2022
266,694205512,Tak Cheong Building,16/10/2022
267,390353346,Mai Kwai Mansion,16/10/2022
268,389685889,Kwai Loong Building,16/10/2022
269,367460269,Silka Tsuen Wan Hotel,15/10/2022
270,206061174,Kwai Fook Building,14/10/2022
271,206061597,Kwai Fung Building,14/10/2022
272,206061166,Yuet Loong Building,13/10/2022
273,206061169,Cheong Hung Mansion,13/10/2022
274,206058392,Yuet Bor Building,13/10/2022
275,206062301,Win Fong Heights,13/10/2022
276,205711887,Ching Nga Court,13/10/2022
277,228411068,Ho King Building,19/10/2022
278,252967179,Bo Fung Building,19/10/2022
279,457625713,Yuet Yiu Building,19/10/2022
280,543681873,Hoi King Mansion,19/10/2022
281,299215771,Nina Hotel Kowloon East,18/10/2022
282,700135109,Yee On Building,17/10/2022
283,494443449,Hong Ning Building,17/10/2022
284,121512626,Hong Ying Court,17/10/2022
285,457633791,Yee Cheong Building,17/10/2022
286,747011639,Man Fuk Building,17/10/2022
287,137331480,Fu Shing House,17/10/2022
288,742102562,Hung Fat Building,17/10/2022
289,543132595,Fu On Building,16/10/2022
290,684535210,Wing Ming Building,16/10/2022
291,234158666,Hip Wo House,15/10/2022
292,112706366,Wai King Building,14/10/2022
293,684429009,Ting On Building,14/10/2022
294,312926456,Hiu Kwong Court,14/10/2022
295,448850195,Lok Cheong Building,14/10/2022
296,457582621,Wing Tai Mansion,14/10/2022
297,252967214,Lai Yue Building,14/10/2022
298,684429022,Lap Hing Building,13/10/2022
299,255289131,On Shing Court,19/10/2022
300,766430630,Fu Ho Mansion,19/10/2022
301,372543673,Fortune House,18/10/2022
302,766430644,Po Cheong Building,17/10/2022
303,450190725,Po Wing Building,17/10/2022
304,370400332,Sun Ling Plaza,15/10/2022
305,231329524,Shing Fat Building,14/10/2022
306,373208737,Parkford Garden,13/10/2022
307,127286722,Hin Ming Court,19/10/2022
308,406911290,Siu Yat Building,15/10/2022
309,444076329,Ample Building,19/10/2022
310,1028434023,Pei Ho Building,19/10/2022
311,757767636,Nam Lo Mansion,19/10/2022
312,781684615,Parkone,19/10/2022
313,494453293,Yau Luen Apartments,19/10/2022
314,521898332,Ka To Building,19/10/2022
315,790726088,Cheong Wah Building,19/10/2022
316,450184800,Wing Ning Building,19/10/2022
317,746340697,Win Fair Mansion,19/10/2022
318,1028367454,Fuk On Building,19/10/2022
319,450184470,Scenic Court,19/10/2022
320,1028643854,Tse Wan Mansion,19/10/2022
321,450027708,TST Tower,19/10/2022
322,770851555,Hing Yip Apartments,19/10/2022
323,450180914,Greenrich Mansion,19/10/2022
324,450185059,Beacon Lodge,19/10/2022
325,256670614,Kam Yee House,19/10/2022
326,391317235,Kam Fai Building,19/10/2022
327,815631044,Cheung On Building,19/10/2022
328,450184894,The Sorentino,19/10/2022
329,770830218,Un On Building,18/10/2022
330,1089876447,Yau Loy Building,18/10/2022
331,742102531,Tai Tak Building,18/10/2022
332,515197506,On Fai Building,18/10/2022
333,709831880,Furama Building,18/10/2022
334,703349561,Kweilin Mansion,18/10/2022
335,684535210,Wing Ming Building,18/10/2022
336,781684616,Hai Tan Mansion,18/10/2022
337,450184469,Hing Wah Apartments,18/10/2022
338,753519779,Yiu Fai Mansion,18/10/2022
339,494288711,Man On Building,18/10/2022
340,775678468,South Ocean Building,17/10/2022
341,753291625,The Amused,17/10/2022
342,694530913,Fu Cheong Building,17/10/2022
343,507897768,Cheung Hong Building,17/10/2022
344,450181044,Hing Lung Building,17/10/2022
345,694056703,Wai Yip Building,16/10/2022
346,1028350421,Nam Cheong Mansion,16/10/2022
347,1028690633,On Sheung Building,16/10/2022
348,703349558,Fu Wa Mansion,16/10/2022
349,753291646,Florence Plaza,16/10/2022
350,450172301,Residence 228,16/10/2022
351,766430644,Po Cheong Building,16/10/2022
352,775717716,Sheung Fook Building,16/10/2022
353,207442733,Yee King Court,16/10/2022
354,825414645,Hang Shing Building,16/10/2022
355,770859745,Sun Ray Crest,16/10/2022
356,1028585184,Po Tai Building,16/10/2022
357,1028582201,King Yip Building,16/10/2022
358,703459473,Wing Kee Mansion,16/10/2022
359,188579038,Begonia Court,16/10/2022
360,770830214,Wah Hing Building,16/10/2022
361,1028434018,Happy Centre,16/10/2022
362,753291638,Green Court,16/10/2022
363,188579035,Pine Court,16/10/2022
364,494714011,Lung On Building,16/10/2022
365,695710789,Fu Wah Court,15/10/2022
366,758132180,The Ascent,15/10/2022
367,783574808,Chew Onn Building,15/10/2022
368,703349559,Tak Fu Building,15/10/2022
369,783317902,Tak Wong Building,15/10/2022
370,299215805,Peony Court,15/10/2022
371,705218342,Sun Po Building,15/10/2022
372,586076019,Sun Wing Building,15/10/2022
373,448850186,Wing Shun Building,15/10/2022
374,705218348,Hong Fook Building,14/10/2022
375,757775109,Hand Fair Court,14/10/2022
376,206061164,Kwai Cheung Building,14/10/2022
377,494506616,Graces Court,14/10/2022
378,827851777,Wai Bun Building,14/10/2022
379,122353202,Wah Tong House,14/10/2022
380,450190865,Kam Hoi Mansion,14/10/2022
381,1028661048,Cheong Lok Building,14/10/2022
382,770819288,Richmond Court,14/10/2022
383,1028661038,Nam Fong House,13/10/2022
384,450185041,Heya Delight,13/10/2022
385,592099619,Hang Cheong Building,13/10/2022
386,817872393,Wellcome Mansion,13/10/2022
387,1028367468,Shing Lam Building,13/10/2022
388,827588228,High Point,13/10/2022
389,781684619,Harbour Park,13/10/2022
390,494453292,Hoi Cheung Building,13/10/2022
391,775678488,Fuk Lung Building,13/10/2022
392,770846621,Tsui Wan Mansion,13/10/2022
393,775765312,Lan Fong Building,13/10/2022
394,753291623,Hoover Mansion,13/10/2022
395,722544959,Ka Shun Court,19/10/2022
396,696413696,Yuk Wo Court,19/10/2022
397,850113769,Mei Pak Court,19/10/2022
398,157655576,Regal Riverside Hotel,19/10/2022
399,390596838,Yuet On Building,18/10/2022
400,1023823067,Pak Tin,18/10/2022
401,41856916,Tai Shui Hang,17/10/2022
402,738820322,Rich Court,16/10/2022
403,738820327,Ka Po House,15/10/2022
404,497060868,Ngau Pei Sha Village,14/10/2022
405,136538134,Racecourse Gardens,13/10/2022
406,136842813,Chun Cheung Court,13/10/2022
407,228011331,On Tai Building,19/10/2022
408,515197506,On Fai Building,19/10/2022
409,700138434,Kam Fat Building,19/10/2022
410,209817116,Albany Court,19/10/2022
411,838145861,Command Tower,18/10/2022
412,178468777,Port Centre,18/10/2022
413,838145864,Billion Court,18/10/2022
414,183152363,Fairview Court,18/10/2022
415,674611346,Sunny Court,18/10/2022
416,454290461,Jumbo Court,18/10/2022
417,454438524,Coble Court,18/10/2022
418,346125655,Wayland House,17/10/2022
419,838104652,Tung Nam Building,16/10/2022
420,346126860,Tin Wan Court,16/10/2022
421,178740915,Yee Tiam Building,16/10/2022
422,100668257,Hung Fook Court,16/10/2022
423,838221239,Yee Hing Building,15/10/2022
424,178740919,Ever Secure Mansion,15/10/2022
425,492862992,Hing Fu Building,15/10/2022
426,191223062,World Fair Court,15/10/2022
427,464350748,Dor Fook Mansion,14/10/2022
428,501316920,Kin Fai Building,13/10/2022
429,692735346,Seaview Court,13/10/2022
430,302152664,Kar Ho Building,19/10/2022
431,447880827,Tai Po Tau,19/10/2022
432,659362684,Po Wah Building,19/10/2022
433,189534579,Tak Nga Court,19/10/2022
434,481617288,Fu Hing Building,18/10/2022
435,504647295,Kai Hing Building,17/10/2022
436,222614312,Tai Wo,17/10/2022
437,391317247,Tak Kay Building,17/10/2022
438,391314709,Moon House,17/10/2022
439,453529668,Po Shing Building,15/10/2022
440,738820314,Hong Lok Building,15/10/2022
441,100668230,Pak Cheung Court,14/10/2022
442,190470900,Man Wah Building,14/10/2022
443,504642003,Wing Cheung Building,14/10/2022
444,776900436,On Lok Building,13/10/2022
445,191736534,The Golden Gate,13/10/2022
446,203136653,Chen Hsin Mansion,19/10/2022
447,177654106,Cheuk Ming Mansion,18/10/2022
448,518967085,Hing Hing Building,18/10/2022
449,203586601,Peace House,17/10/2022
450,1028582200,Tai Yuen House,16/10/2022
451,838015806,Fortune Mansion,16/10/2022
452,179006264,H Cube,16/10/2022
453,191955143,Jade Plaza,16/10/2022
454,492669023,On Fung Building,15/10/2022
455,692727669,Kam Shing Building,15/10/2022
456,451596172,Tai Wah Building,13/10/2022
457,223404497,Tsuen Fung Centre,13/10/2022
458,746325672,Rich Building,19/10/2022
459,363024790,Tuen Mun Industrial Centre,19/10/2022
460,930916576,Parkview Court,19/10/2022
461,700138434,Kam Fat Building,19/10/2022
462,204665753,South Hillcrest,17/10/2022
463,219523404,Siu Pong Court,17/10/2022
464,219523390,Siu Lung Court,17/10/2022
465,228411068,Ho King Building,16/10/2022
466,559068473,Victory Building,13/10/2022
467,695608060,Orchid Court,13/10/2022
468,692802816,Kam Hing Building,13/10/2022
469,183152353,Fortune Villa,13/10/2022
